Tipo,Temp_Aire,Temp_Proceso,Velocidad,Torque,Desgaste,Fallo,Tipo_Fallo,Consumo_Estimado,Gasto_Excesivo
M,298.1,308.6,1551,42.8,0,0,No Failure,66.38279999999999,True
L,298.2,308.7,1408,46.3,3,0,No Failure,65.1904,True
L,298.1,308.5,1498,49.4,5,0,No Failure,74.0012,True
L,298.2,308.6,1433,39.5,7,0,No Failure,56.6035,False
L,298.2,308.7,1408,40.0,9,0,No Failure,56.32,False
M,298.1,308.6,1425,41.9,11,0,No Failure,59.7075,False
L,298.1,308.6,1558,42.4,14,0,No Failure,66.0592,True
L,298.1,308.6,1527,40.2,16,0,No Failure,61.385400000000004,True
M,298.3,308.7,1667,28.6,18,0,No Failure,47.6762,False
M,298.5,309.0,1741,28.0,21,0,No Failure,48.748,False
H,298.4,308.9,1782,23.9,24,0,No Failure,42.5898,False
H,298.6,309.1,1423,44.3,29,0,No Failure,63.03889999999999,True
M,298.6,309.1,1339,51.1,34,0,No Failure,68.42290000000001,True
M,298.6,309.2,1742,30.0,37,0,No Failure,52.26,False
L,298.6,309.2,2035,19.6,40,0,No Failure,39.886,False
L,298.6,309.2,1542,48.4,42,0,No Failure,74.6328,True
M,298.6,309.2,1311,46.6,44,0,No Failure,61.0926,True
M,298.7,309.2,1410,45.6,47,0,No Failure,64.296,True
H,298.8,309.2,1306,54.5,50,0,No Failure,71.177,True
M,298.9,309.3,1632,32.5,55,0,No Failure,53.04,False
H,298.9,309.3,1375,42.7,58,0,No Failure,58.712500000000006,False
L,298.8,309.3,1450,44.8,63,0,No Failure,64.96,True
M,298.9,309.3,1581,30.7,65,0,No Failure,48.536699999999996,False
L,299.0,309.4,1758,25.7,68,0,No Failure,45.1806,False
M,299.0,309.4,1561,37.3,70,0,No Failure,58.2253,False
L,299.0,309.5,1861,23.3,73,0,No Failure,43.3613,False
L,299.1,309.5,1512,39.0,75,0,No Failure,58.968,False
H,299.1,309.4,1811,24.6,77,0,No Failure,44.5506,False
L,299.1,309.4,1439,44.2,82,0,No Failure,63.6038,True
L,299.0,309.4,1693,30.1,84,0,No Failure,50.959300000000006,False
